/nat/~/ipul/~/nat-ipul-a/,,*ti,*CC,*VV,Max-V-IO,Ident-IO,Dep-V-IO,Max-V-OP,Ident-OP,Dep-V-OP
nat~ipul~nat-ipul-a,,*,,,,,,,,
nat~ipul~nati-ipul-a,,*,,*,,,*,*,,*
nat~ipul~natS-ipul-a,1,,,,,*,,,*,
nat~ipul~natSi-ipul-a,,,,*,,*,*,*,*,*
nati~ipul~nat-ipul-a,,**,,,,,*,,,
nati~ipul~nati-ipul-a,,**,,*,,,**,*,,*
nati~ipul~natS-ipul-a,,*,,,,*,*,,*,
nati~ipul~natSi-ipul-a,,*,,*,,*,**,*,*,*
natS~ipul~nat-ipul-a,,*,,,,*,,,*,
natS~ipul~nati-ipul-a,,*,,*,,,*,*,*,*
natS~ipul~natS-ipul-a,,,,,,**,,,,
natS~ipul~natSi-ipul-a,,,,*,,**,*,*,,*
natSi~ipul~nat-ipul-a,,*,,,,**,*,,*,
natSi~ipul~nati-ipul-a,,*,,*,,**,**,*,*,*
natSi~ipul~natS-ipul-a,,,,,,**,*,,,
natSi~ipul~natSi-ipul-a,,,,*,,**,**,*,,*
/nat/~/pibok/~/nat-pibok-a/,,*ti,*CC,*VV,Max-V-IO,Ident-IO,Dep-V-IO,Max-V-OP,Ident-OP,Dep-V-OP
nat~pibok~nat-pibok-a,1,,*,,,,,,,
nat~pibok~nati-pibok-a,,*,,,,,*,*,,*
nat~pibok~natS-pibok-a,,,*,,,*,,,*,
nat~pibok~natSi-pibok-a,,,,,,*,*,*,*,*
nati~pibok~nat-pibok-a,,,*,,,,,*,,*
nati~pibok~nati-pibok-a,,**,,,,,*,,,
nati~pibok~natS-pibok-a,,*,*,,,*,,*,*,*
nati~pibok~natSi-pibok-a,,*,,,,*,*,,*,
natS~pibok~nat-pibok-a,,,*,,,*,,,*,
natS~pibok~nati-pibok-a,,*,,,,*,*,*,*,*
natS~pibok~natS-pibok-a,,,*,,,**,,,,
natS~pibok~natSi-pibok-a,,,,,,**,*,*,,*
natSi~pibok~nat-pibok-a,,,*,,,*,,*,*,*
natSi~pibok~nati-pibok-a,,*,,,,*,*,,*,
natSi~pibok~natS-pibok-a,,,*,,,**,,*,,*
natSi~pibok~natSi-pibok-a,,,,,,**,*,,,
/mapi/~/alop/~/mapi-alop-a/,,*ti,*CC,*VV,Max-V-IO,Ident-IO,Dep-V-IO,Max-V-OP,Ident-OP,Dep-V-OP
mapi~alop~mapi-alop-a,,,,*,,,,,,
mapi~alop~map-alop-a,1,,,,*,,,*,,*
map~alop~mapi-alop-a,,,,*,*,,,*,,*
map~alop~map-alop-a,,,,,**,,,,,
/kito/~/ilip/~/kito-ilip-a/,,*ti,*CC,*VV,Max-V-IO,Ident-IO,Dep-V-IO,Max-V-OP,Ident-OP,Dep-V-OP
kito~ilip~kito-ilip-a,,,,*,,,,,,
kito~ilip~kitSo-ilip-a,,,,*,,*,,,*,
kito~ilip~kit-ilip-a,1,*,,,*,,,*,,*
kito~ilip~kitS-ilip-a,,,,,*,*,,*,*,*
kitSo~ilip~kito-ilip-a,,,,*,,*,,,*,
kitSo~ilip~kitSo-ilip-a,,,,*,,**,,,,
kitSo~ilip~kit-ilip-a,,*,,,*,*,,*,*,*
kitSo~ilip~kitS-ilip-a,,,,,*,**,,*,,*
kit~ilip~kito-ilip-a,,*,,*,,,,*,,*
kit~ilip~kitSo-ilip-a,,*,,*,,*,,*,*,*
kit~ilip~kit-ilip-a,,**,,,*,,,,,
kit~ilip~kitS-ilip-a,,*,,,*,*,,,*,
kitS~ilip~kito-ilip-a,,,,*,,*,,*,*,*
kitS~ilip~kitSo-ilip-a,,,,*,,**,,*,,*
kitS~ilip~kit-ilip-a,,*,,,*,*,,,*,
kitS~ilip~kitS-ilip-a,,,,,*,**,,,,
